year,adm2_name,c_beans,c_cabbage,c_carrots,c_eggs,c_meat_beef_chops,c_meat_chicken_whole,c_meat_pork,c_onions,c_potatoes,c_rice,c_tomatoes
2007,Abra,85.63333333333333,47.3125,36.84916666666667,4.331666666666666,197.85666666666668,110.69416666666666,140.77333333333334,92.28500000000001,36.490833333333335,21.651666666666667,35.711666666666666
2007,Agusan del Norte,70.96833333333333,43.82708333333333,57.6925,4.374583333333333,160.66583333333332,108.855,136.61708333333334,142.29625000000001,56.218333333333334,24.5775,36.23833333333334
2007,Agusan del Sur,72.46583333333334,43.26333333333333,57.5825,4.28,158.5575,107.77416666666666,132.59583333333333,145.23749999999998,57.785,24.608333333333334,34.44083333333333
2007,Aklan,68.08416666666666,49.01083333333333,58.284166666666664,4.8525,180.86416666666665,102.7975,128.32500000000002,118.77916666666665,49.620000000000005,22.394166666666667,35.9175
2007,Albay,70.45583333333333,51.26541666666666,50.38166666666667,4.321666666666666,189.75583333333336,111.31166666666667,132.43875,119.47291666666666,42.9375,23.913749999999997,35.10875
2007,Antique,67.4075,49.77333333333333,62.093333333333334,4.966666666666667,180.20333333333335,101.89916666666666,124.94666666666667,118.97083333333335,51.83583333333333,21.854166666666668,36.85583333333333
2007,Apayao,82.23416666666667,47.82583333333333,37.3325,4.335,196.04833333333332,113.455,145.12416666666667,84.085,36.35583333333333,21.830833333333334,24.271666666666665
2007,Aurora,82.83166666666666,42.415,39.244166666666665,4.29,191.84583333333333,103.19083333333333,137.31333333333333,96.45083333333334,37.59166666666667,22.735833333333332,36.03916666666667
2007,Basilan,74.03333333333333,44.09583333333333,57.2725,4.291666666666667,148.90416666666667,93.08916666666666,132.52333333333334,127.89833333333333,45.29083333333333,23.746666666666666,32.833333333333336
2007,Bataan,83.3975,53.659166666666664,41.49166666666667,4.081666666666666,192.5625,109.20166666666667,136.97333333333333,103.48833333333333,40.038333333333334,21.706666666666667,34.3275
2007,Batangas,81.45583333333333,52.77375,41.555416666666666,4.154166666666667,190.4779166666667,108.32958333333333,137.10541666666666,105.36208333333333,39.85458333333333,21.829166666666666,34.47166666666667
2007,Benguet,93.63527777777777,45.763888888888886,37.97555555555555,4.245555555555556,207.4477777777778,106.68166666666667,133.1586111111111,96.485,38.76083333333334,21.22138888888889,54.7925
2007,Biliran,67.69083333333333,41.85333333333333,52.471666666666664,4.690833333333333,172.88583333333335,108.97166666666668,128.2,123.31666666666666,50.464166666666664,23.564999999999998,36.29916666666667
2007,Bohol,65.38000000000001,35.385,48.885,4.528333333333333,161.26333333333335,105.36166666666666,130.6,120.41666666666667,50.98333333333333,23.745,36.97666666666667
2007,Bukidnon,72.5,35.13,41.24166666666667,4.085,155.1525,104.56666666666666,121.28333333333335,118.58749999999999,56.574999999999996,23.462500000000002,34.36416666666667
2007,Bulacan,83.41125,52.08958333333334,41.12625,4.090833333333333,193.21916666666667,108.2525,137.67583333333332,103.5,39.85041666666667,21.792083333333334,33.83375
2007,Cagayan,81.44208333333333,47.25208333333333,37.63458333333333,4.3374999999999995,196.025,113.11708333333333,145.57791666666665,83.19541666666667,36.83416666666667,21.980416666666667,23.006249999999998
2007,Camarines Norte,78.17833333333333,51.48416666666666,44.02916666666667,4.281666666666666,191.02416666666667,110.52083333333333,136.3725,113.42,41.590833333333336,22.985833333333332,34.87166666666667
2007,Camarines Sur,76.66416666666667,51.51166666666666,45.75333333333333,4.288333333333333,190.2975,110.71,135.085,115.65750000000001,42.509166666666665,23.361666666666665,35.343333333333334
2007,Camiguin,69.82333333333334,38.288333333333334,51.00083333333333,4.465,161.42083333333332,111.04083333333334,127.605,127.66083333333334,55.58833333333333,23.7325,36.530833333333334
2007,Capiz,67.87583333333333,48.25083333333333,58.415,4.838333333333334,179.6158333333333,103.7375,128.75333333333333,120.69,50.248333333333335,22.391666666666666,35.973333333333336
2007,Catanduanes,73.99416666666666,51.05833333333334,48.70083333333333,4.286666666666666,192.3033333333333,114.15916666666668,133.28833333333333,120.4875,42.8425,23.838333333333335,34.63666666666666
2007,Cavite,82.69416666666666,51.92166666666666,41.7725,4.0975,191.5875,108.67750000000001,137.60416666666666,104.86,40.339999999999996,21.787499999999998,34.2125
2007,Cebu,63.37916666666666,31.285833333333333,48.48291666666666,4.745833333333334,160.8033333333333,102.70291666666667,134.17708333333334,131.61291666666668,47.1675,23.25916666666667,36.4925
2007,Compostela Valley,75.72583333333334,33.38166666666667,44.76166666666666,4.0025,155.88333333333333,102.00583333333333,114.68416666666667,128.72583333333333,56.98666666666667,23.081666666666667,31.3425
2007,Davao Oriental,76.93833333333333,33.015,45.63333333333333,3.893333333333333,154.58083333333335,101.27833333333332,112.14083333333333,130.6775,56.392500000000005,22.734166666666667,29.206666666666667
2007,Davao del Norte,75.2725,33.2075,44.695,3.986666666666667,155.5025,101.75416666666666,113.80666666666667,127.86583333333334,56.64666666666667,22.996666666666666,30.796666666666667
2007,Davao del Sur,73.59972222222223,33.22694444444445,43.06166666666667,3.856388888888889,152.99194444444444,101.52722222222222,112.41888888888889,124.0638888888889,54.75611111111111,22.69666666666667,29.776666666666667
2007,Dinagat Islands,73.80666666666666,40.305,54.28666666666667,4.765833333333333,174.86666666666667,117.31666666666666,126.27749999999999,137.3525,59.02916666666667,23.459999999999997,36.73083333333333
2007,Eastern Samar,70.315,42.255833333333335,52.303333333333335,4.6475,173.67416666666668,111.71499999999999,127.47416666666668,127.92416666666666,52.285,23.641666666666666,36.51833333333334
